"";"date";"onset";"death";"reporting"
"1";1995-01-06;1;0;TRUE
"2";1995-01-07;0;0;FALSE
"3";1995-01-08;0;0;FALSE
"4";1995-01-09;0;0;FALSE
"5";1995-01-10;0;0;FALSE
"6";1995-01-11;0;0;FALSE
"7";1995-01-12;0;0;FALSE
"8";1995-01-13;0;0;FALSE
"9";1995-01-14;0;0;FALSE
"10";1995-01-15;0;0;FALSE
"11";1995-01-16;0;0;FALSE
"12";1995-01-17;0;0;FALSE
"13";1995-01-18;0;0;FALSE
"14";1995-01-19;0;0;FALSE
"15";1995-01-20;0;0;FALSE
"16";1995-01-21;0;0;FALSE
"17";1995-01-22;0;0;FALSE
"18";1995-01-23;0;0;FALSE
"19";1995-01-24;0;0;FALSE
"20";1995-01-25;0;0;FALSE
"21";1995-01-26;0;0;FALSE
"22";1995-01-27;0;0;FALSE
"23";1995-01-28;0;0;FALSE
"24";1995-01-29;0;0;FALSE
"25";1995-01-30;0;0;FALSE
"26";1995-01-31;0;0;FALSE
"27";1995-02-01;0;0;FALSE
"28";1995-02-02;0;0;FALSE
"29";1995-02-03;0;0;FALSE
"30";1995-02-04;0;0;FALSE
"31";1995-02-05;0;0;FALSE
"32";1995-02-06;0;0;FALSE
"33";1995-02-07;0;0;FALSE
"34";1995-02-08;0;0;FALSE
"35";1995-02-09;0;0;FALSE
"36";1995-02-10;0;0;FALSE
"37";1995-02-11;0;0;FALSE
"38";1995-02-12;0;0;FALSE
"39";1995-02-13;0;0;FALSE
"40";1995-02-14;0;0;FALSE
"41";1995-02-15;0;0;FALSE
"42";1995-02-16;0;0;FALSE
"43";1995-02-17;0;0;FALSE
"44";1995-02-18;0;0;FALSE
"45";1995-02-19;0;0;FALSE
"46";1995-02-20;0;0;FALSE
"47";1995-02-21;0;0;FALSE
"48";1995-02-22;0;0;FALSE
"49";1995-02-23;0;0;FALSE
"50";1995-02-24;0;0;FALSE
"51";1995-02-25;0;0;FALSE
"52";1995-02-26;0;0;FALSE
"53";1995-02-27;0;0;FALSE
"54";1995-02-28;0;0;FALSE
"55";1995-03-01;0;0;TRUE
"56";1995-03-02;0;1;TRUE
"57";1995-03-03;0;0;TRUE
"58";1995-03-04;0;0;TRUE
"59";1995-03-05;0;0;TRUE
"60";1995-03-06;1;0;TRUE
"61";1995-03-07;1;0;TRUE
"62";1995-03-08;1;1;TRUE
"63";1995-03-09;0;1;TRUE
"64";1995-03-10;0;0;TRUE
"65";1995-03-11;0;0;TRUE
"66";1995-03-12;0;0;TRUE
"67";1995-03-13;3;0;TRUE
"68";1995-03-14;0;0;TRUE
"69";1995-03-15;0;1;TRUE
"70";1995-03-16;0;1;TRUE
"71";1995-03-17;1;0;TRUE
"72";1995-03-18;1;0;TRUE
"73";1995-03-19;0;1;TRUE
"74";1995-03-20;1;0;TRUE
"75";1995-03-21;0;0;TRUE
"76";1995-03-22;2;0;TRUE
"77";1995-03-23;0;0;TRUE
"78";1995-03-24;1;0;TRUE
"79";1995-03-25;0;0;TRUE
"80";1995-03-26;0;1;TRUE
"81";1995-03-27;0;2;TRUE
"82";1995-03-28;0;0;TRUE
"83";1995-03-29;0;1;TRUE
"84";1995-03-30;0;1;TRUE
"85";1995-03-31;0;0;TRUE
"86";1995-04-01;2;1;TRUE
"87";1995-04-02;0;1;TRUE
"88";1995-04-03;1;0;TRUE
"89";1995-04-04;1;0;TRUE
"90";1995-04-05;2;0;TRUE
"91";1995-04-06;1;0;TRUE
"92";1995-04-07;0;0;TRUE
"93";1995-04-08;1;0;TRUE
"94";1995-04-09;1;0;TRUE
"95";1995-04-10;1;1;TRUE
"96";1995-04-11;1;1;TRUE
"97";1995-04-12;1;1;TRUE
"98";1995-04-13;1;2;TRUE
"99";1995-04-14;3;3;TRUE
"100";1995-04-15;0;1;TRUE
"101";1995-04-16;4;1;TRUE
"102";1995-04-17;4;0;TRUE
"103";1995-04-18;1;0;TRUE
"104";1995-04-19;2;0;TRUE
"105";1995-04-20;4;0;TRUE
"106";1995-04-21;2;0;TRUE
"107";1995-04-22;1;2;TRUE
"108";1995-04-23;7;1;TRUE
"109";1995-04-24;4;1;TRUE
"110";1995-04-25;4;2;TRUE
"111";1995-04-26;2;4;TRUE
"112";1995-04-27;4;1;TRUE
"113";1995-04-28;5;2;TRUE
"114";1995-04-29;3;2;TRUE
"115";1995-04-30;11;5;TRUE
"116";1995-05-01;12;0;TRUE
"117";1995-05-02;15;0;TRUE
"118";1995-05-03;7;0;TRUE
"119";1995-05-04;7;2;TRUE
"120";1995-05-05;8;1;TRUE
"121";1995-05-06;2;2;TRUE
"122";1995-05-07;5;5;TRUE
"123";1995-05-08;8;2;TRUE
"124";1995-05-09;6;7;TRUE
"125";1995-05-10;8;7;TRUE
"126";1995-05-11;3;14;TRUE
"127";1995-05-12;4;14;TRUE
"128";1995-05-13;7;12;TRUE
"129";1995-05-14;11;7;TRUE
"130";1995-05-15;3;8;TRUE
"131";1995-05-16;12;7;TRUE
"132";1995-05-17;5;2;TRUE
"133";1995-05-18;8;1;TRUE
"134";1995-05-19;3;3;TRUE
"135";1995-05-20;3;6;TRUE
"136";1995-05-21;8;5;TRUE
"137";1995-05-22;4;3;TRUE
"138";1995-05-23;5;10;TRUE
"139";1995-05-24;1;7;TRUE
"140";1995-05-25;3;6;TRUE
"141";1995-05-26;4;6;TRUE
"142";1995-05-27;3;6;TRUE
"143";1995-05-28;1;7;TRUE
"144";1995-05-29;2;4;TRUE
"145";1995-05-30;3;3;TRUE
"146";1995-05-31;1;1;TRUE
"147";1995-06-01;3;3;TRUE
"148";1995-06-02;3;2;TRUE
"149";1995-06-03;4;4;TRUE
"150";1995-06-04;3;1;TRUE
"151";1995-06-05;5;1;TRUE
"152";1995-06-06;2;0;TRUE
"153";1995-06-07;2;1;TRUE
"154";1995-06-08;1;1;TRUE
"155";1995-06-09;0;2;TRUE
"156";1995-06-10;2;0;TRUE
"157";1995-06-11;0;4;TRUE
"158";1995-06-12;0;4;TRUE
"159";1995-06-13;2;3;TRUE
"160";1995-06-14;0;1;TRUE
"161";1995-06-15;0;0;TRUE
"162";1995-06-16;0;2;TRUE
"163";1995-06-17;2;0;TRUE
"164";1995-06-18;2;0;TRUE
"165";1995-06-19;0;1;TRUE
"166";1995-06-20;1;0;TRUE
"167";1995-06-21;0;0;TRUE
"168";1995-06-22;0;0;TRUE
"169";1995-06-23;0;0;TRUE
"170";1995-06-24;0;3;TRUE
"171";1995-06-25;0;0;TRUE
"172";1995-06-26;0;1;TRUE
"173";1995-06-27;0;0;TRUE
"174";1995-06-28;0;0;TRUE
"175";1995-06-29;0;0;TRUE
"176";1995-06-30;0;0;TRUE
"177";1995-07-01;0;0;TRUE
"178";1995-07-02;0;0;TRUE
"179";1995-07-03;0;0;TRUE
"180";1995-07-04;0;0;TRUE
"181";1995-07-05;0;0;TRUE
"182";1995-07-06;0;0;TRUE
"183";1995-07-07;0;0;TRUE
"184";1995-07-08;0;0;TRUE
"185";1995-07-09;0;0;TRUE
"186";1995-07-10;0;0;TRUE
"187";1995-07-11;0;0;TRUE
"188";1995-07-12;1;0;TRUE
"189";1995-07-13;0;0;TRUE
"190";1995-07-14;0;0;TRUE
"191";1995-07-15;0;0;TRUE
"192";1995-07-16;0;1;TRUE
